,id_escola,tipo_escola,nome_escola,endereco,numero,bairro,latitude,longitude,quantidade_material,subprefeitura
57,379,EM,CIEP NELSON MANDELA,PRACA DANIEL LAMES,s/nº,CAMPO GRANDE,-22.89557,-43.57050,109.0,ZONA OESTE
56,379,EM,CIEP NELSON MANDELA,PRACA DANIEL LAMES,s/n,CAMPO GRANDE,-22.89557,-43.57050,109.0,ZONA OESTE
59,399,EM,CIEP CLEMENTINA DE JESUS,AVENIDA ALHAMBRA,s/nº,CAMPO GRANDE,-22.92529,-43.56664,71.0,ZONA OESTE
60,616,EM,CIEP PROFESSOR DARCI RIBEIRO,RUA CONCHAS,s/n,CAMPO GRANDE,-22.88729,-43.58735,372.0,ZONA OESTE
50,041,EM,EM ANDRADE NEVES,RUA VIANA DO CASTELO.,s/nº,JARDIM AMERICA,-22.80944,-43.32629,468.0,ZONA NORTE
51,537,EM,EM ARY QUINTELLA,RUA ENG. MOREIRA LIMA,54,PENHA CIRCULAR,-22.83941,-43.30006,234.0,ZONA NORTE
96,687,EM,EM TASSO DA SILVEIRA,RUA GENERAL BERNARDINO DE MATOS,s/n.º,REALENGO,-22.88385,-43.41733,,GRANDE BANGU
95,477,EM,EM PAULO MARANHAO,RUA DO GOVERNO,866,REALENGO,-22.89299,-43.44121,187.0,GRANDE BANGU
52,566,EM,EM BRANT HORTA,RUA BENTO CARDOSO,130,PENHA CIRCULAR,-22.83566,-43.28815,564.0,ZONA NORTE
68,263,EM,EM PADRE MANUEL DE NOBREGA,PRACA ELBA,1215,VIGARIO GERAL,-22.85713,-43.26416,292.0,ZONA NORTE
66,663,EM,EM CIENTISTA MARIO KROEFF,RUA DO COUTO,91,PENHA,-22.83896,-43.27517,426.0,ZONA NORTE
67,121,EM,EM DILERMANDO CRUZ,AVENIDA TEIXEIRA DE CASTRO,407,RAMOS,-22.85386,-43.25245,167.0,ZONA NORTE
65,146,EM,EM BERNARDO VASCONCELOS,PRAÇA SANTA ROSALIA,100,PENHA,-22.84562,-43.28400,151.0,ZONA NORTE
55,498,EM,EM CHILE,PRAÇA BELMONTE,15,OLARIA,-22.84858,-43.26858,61.0,ZONA NORTE
45,502,EM,CIEP PATRICE LUMUMBA,PRACA DA CONFEDERACAO SUICA,s/nº,DEL CASTILHO,-22.87835,-43.27488,493.0,ZONA NORTE
94,171,EM,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,AVENIDA CANAL,s/n°,REALENGO,-22.88345,-43.42945,235.0,GRANDE BANGU
46,388,EM,EM CARDEAL CAMARA,RUA ANAMA,98,PARADA DE LUCAS,-22.81527,-43.30356,504.0,ZONA NORTE
47,388,EM,EM CARDEAL CAMARA,RUA ANAMA,98,PARADA DE LUCAS,-22.81527,-43.30356,504.0,ZONA NORTE
70,140,EM,EM PEDRO LESSA,RUA ADAIL,49,BONSUCESSO,-22.86047,-43.25428,153.0,ZONA NORTE
71,260,EM,EM PROFESSOR JOSUE DE CASTRO,AVENIDA BRASIL 4040 RUA DA,vitória,BONSUCESSO,-22.87373,-43.24071,,ZONA NORTE
69,118,EM,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,RUA PRINCIPAL,s/n.º,BONSUCESSO,-22.85782,-43.24045,210.0,ZONA NORTE
98,514,EM,EM PARANA,AVENIDA ERNANI CARDOSO,316,CASCADURA,-22.88240,-43.33811,534.0,ZONA NORTE
101,016,EM,CIEP JOAO BATISTA DOS SANTOS,RUA EDGAR WERNECK,1.565,CIDADE DE DEUS,-22.94710,-43.35973,430.0,JACAREPAGUA
54,230,EM,EM BERLIM,PRAÇA RAMOS FIGUEIRA,20,OLARIA,-22.84779,-43.26144,24.0,ZONA NORTE
61,144,EM,EM ALFREDO CESARIO ALVIM,RUA RIO DA PRATA RUA LUISA MARILAC,20,CAMPO GRANDE,-22.92315,-43.51877,99.0,ZONA OESTE
63,342,COLÉGIO,E.M FERNANDO COSTA,RUA JOSE ALBANO,s/nº,CAMPO GRANDE,-22.89036,-43.59399,296.0,ZONA OESTE
53,161,COLÉGIO,E.M JOAO DE DEUS,PRAÇA ALMEIDA GARRET,s/nº,PENHA CIRCULAR,-22.82994,-43.28210,509.0,ZONA NORTE
132,215,COLÉGIO,E.M. NARCISA AMALIA,ESTRADA TEODORETO DE CAMARGO,s/n.º,ILHA DE GUARATIBA,-23.00908,-43.53758,,ZONA OESTE
131,301,EM,EM JONATAS SERRANO,ESTRADA DO MATO ALTO,s/nº,GUARATIBA,-22.95316,-43.57740,335.0,ZONA OESTE
78,090,EM,EM THOMAS JEFFERSON,AVENIDA PASTOR MARTIN LUTHER KING JR,s/nº,ACARI,-22.81631,-43.34014,67.0,ZONA NORTE
77,090,EM,EM THOMAS JEFFERSON,AVENIDA PASTOR MARTIN LUTHER KING JR,s/nº,ACARI,-22.81631,-43.34014,67.0,ZONA NORTE
62,534,EM,EM CORA CORALINA,RUA VOTORANTIM S/N KM 10,mendanha,CAMPO GRANDE,-22.85878,-43.53704,157.0,ZONA OESTE
133,606,EM,EM PROFESSOR CASTILHO,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,-22.99412,-43.59368,521.0,ZONA OESTE
79,274,EM,EM ABEILARD FEIJO,ESTRADA DA CACUIA,1386,CACUIA,-22.80769,-43.18155,561.0,ILHAS
104,211,EM,EM FRANCIS HIME,ESTRADA PAU DA FOME,196,TAQUARA,-22.91883,-43.41625,520.0,JACAREPAGUA
105,466,EM,ESCOLA MUNICIPAL NELSON RODRIGUES,RUA FREI LUIZ ALEVATO,s/n°,TAQUARA,-22.93532,-43.36972,279.0,JACAREPAGUA
102,690,EM,ESCOLA MUNICIPAL FINLANDIA,RUA,igarapé-açu,CAMORIM,-22.97198,-43.41011,94.0,BARRA DA TIJUCA
103,202,COLÉGIO,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,RUA ESPERANCA,387,VARGEM GRANDE,-22.98172,-43.49163,121.0,BARRA DA TIJUCA
64,139,EM,EM JESUS SOARES PEREIRA,RUA CONSOLACAO,138,CAMPO GRANDE,-22.91959,-43.54683,316.0,ZONA OESTE
100,415,EM,ESCOLA MUNICIPAL LUIZ DE CAMOES,ESTRUA LUIZDE CAMOES,1446,COLEGIO,-22.84604,-43.33866,152.0,ZONA NORTE
99,023,EM,EM CERVANTES,RUA ABILIO DOS SANTOS,170,BENTO RIBEIRO,-22.86459,-43.36595,342.0,ZONA NORTE
74,069,EM,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO,401,MADUREIRA,-22.87608,-43.34336,468.0,ZONA NORTE
75,069,EM,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO,401,MADUREIRA,-22.87608,-43.34336,468.0,ZONA NORTE
76,069,EM,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO,401,MADUREIRA,-22.87608,-43.34336,468.0,ZONA NORTE
72,069,EM,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO,401,MADUREIRA,-22.87608,-43.34336,468.0,ZONA NORTE
73,069,EM,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO,401,MADUREIRA,-22.87608,-43.34336,468.0,ZONA NORTE
114,495,EM,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,AVENIDA DUQUE DE CAXIAS,170,DEODORO,-22.85608,-43.38660,128.0,GRANDE BANGU
129,289,EM,EM BERTHA LUTZ,ESTRADA DO PIAI,2075,GUARATIBA,-22.97906,-43.67058,329.0,ZONA OESTE
112,398,EM,EM LEONARDO DA VINCI,RUA RENATO REBECCHI,s/n.°,BANGU,-22.89252,-43.47295,315.0,GRANDE BANGU
127,515,EM,CIEP HILDEBRANDO DE ARAUJO GOES,ESTRADA DA PEDRA,s/n.º,PEDRA DE GUARATIBA,-22.97450,-43.64817,341.0,ZONA OESTE
125,297,EM,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,AVENIDA CANAL 3 S/N.O CONJ.,cesarão,SANTA CRUZ,-22.93011,-43.65289,,ZONA OESTE
124,311,EM,EM PESTALOZZI,RUA SEVERIANO DAS CHAGAS,s/nº,SANTA CRUZ,-22.91571,-43.67975,162.0,ZONA OESTE
126,584,EM,ESCOLA MUNICIPAL NELSON ROMERO,RUA JOSE BALDINO,s/n.º,SEPETIBA,-22.97173,-43.69735,342.0,ZONA OESTE
128,210,EM,EM DEBORA MENDES DE MORAES,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,-23.00141,-43.63875,570.0,ZONA OESTE
123,246,EM,EM FERNANDO AZEVEDO,RUA DAS PALMEIRAS IMPERIAIS,s/nº,SANTA CRUZ,-22.92306,-43.69233,459.0,ZONA OESTE
121,323,EM,CIEP ISMAEL NERY,AVENIDA CESARIO DE MELO,s/n°,SANTA CRUZ,-22.93415,-43.66213,106.0,ZONA OESTE
119,320,EM,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,RUA PEQUIA,97,COSMOS,-22.91096,-43.61605,479.0,ZONA OESTE
122,560,EM,EM ANDRE VIDAL DE NEGREIROS,RUA FELIPE CARDOSO,750,SANTA CRUZ,-22.92139,-43.68058,308.0,ZONA OESTE
120,052,COLÉGIO,E.M PROFESSOR PAULO SILVA,RUA JAIRO CORREA,s/nº,INHOAIBA,-22.90858,-43.58473,330.0,ZONA OESTE
117,568,EM,EM VISCONDE DE PORTO SEGURO,RUA TEOFILO GUIMARAES,604,JARDIM SULACAP,-22.88907,-43.39248,362.0,GRANDE BANGU
130,474,EM,EM ENGENHEIRO GASTAO RANGEL,ESTRADA DO MAGARCA,9.183,GUARATIBA,-22.98046,-43.64354,320.0,ZONA OESTE
118,255,EM,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,ESTRADA MORICABA,s/nº,SENADOR VASCONCELOS,-22.92529,-43.56664,591.0,ZONA OESTE
